emissivity,albedo,thermal conductivity ,density ,specific heat capacity,beaming factor,layer thickness,n_layers,solar distance,solar luminosity ,sunlight direction,timesteps per day,rotation period hours,max days,convergence target,ra degrees,dec degrees
0,0,0,450,900,0.9,0.1,32,0.5,3.00E+26,"[1,0,0]",100,12,10,0.1,0,90
0.001,0.001,0.001,450.01,901,0.901,0.1,32,0.51,3.00E+26,"[1,0,0]",100,12,10,0.1,0,90
0.002,0.002,0.002,450.02,902,0.902,0.1,32,0.52,3.00E+26,"[1,0,0]",100,12,10,0.1,0,90
0.003,0.003,0.003,450.03,903,0.903,0.1,32,0.53,3.00E+26,"[1,0,0]",100,12,10,0.1,0,90
0.004,0.004,0.004,450.04,904,0.904,0.1,32,0.54,3.00E+26,"[1,0,0]",100,12,10,0.1,0,90
0.005,0.005,0.005,450.05,905,0.905,0.1,32,0.55,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.006,0.006,0.006,450.06,906,0.906,0.1,32,0.56,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.007,0.007,0.007,450.07,907,0.907,0.1,32,0.57,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.008,0.008,0.008,450.08,908,0.908,0.1,32,0.58,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.009,0.009,0.009,450.09,909,0.909,0.1,32,0.59,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.01,0.01,0.01,450.1,910,0.91,0.1,32,0.6,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.011,0.011,0.011,450.11,911,0.911,0.1,32,0.61,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.012,0.012,0.012,450.12,912,0.912,0.1,32,0.62,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.013,0.013,0.013,450.13,913,0.913,0.1,32,0.63,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.014,0.014,0.014,450.14,914,0.914,0.1,32,0.64,3.01E+26,"[1,0,0]",100,12,10,0.1,0,90
0.015,0.015,0.015,450.15,915,0.915,0.1,32,0.65,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.016,0.016,0.016,450.16,916,0.916,0.1,32,0.66,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.017,0.017,0.017,450.17,917,0.917,0.1,32,0.67,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.018,0.018,0.018,450.18,918,0.918,0.1,32,0.68,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.019,0.019,0.019,450.19,919,0.919,0.1,32,0.69,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.02,0.02,0.02,450.2,920,0.92,0.1,32,0.7,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.021,0.021,0.021,450.21,921,0.921,0.1,32,0.71,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.022,0.022,0.022,450.22,922,0.922,0.1,32,0.72,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.023,0.023,0.023,450.23,923,0.923,0.1,32,0.73,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.024,0.024,0.024,450.24,924,0.924,0.1,32,0.74,3.02E+26,"[1,0,0]",100,12,10,0.1,0,90
0.025,0.025,0.025,450.25,925,0.925,0.1,32,0.75,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.026,0.026,0.026,450.26,926,0.926,0.1,32,0.76,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.027,0.027,0.027,450.27,927,0.927,0.1,32,0.77,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.028,0.028,0.028,450.28,928,0.928,0.1,32,0.78,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.029,0.029,0.029,450.29,929,0.929,0.1,32,0.79,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.03,0.03,0.03,450.3,930,0.93,0.1,32,0.8,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.031,0.031,0.031,450.31,931,0.931,0.1,32,0.81,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.032,0.032,0.032,450.32,932,0.932,0.1,32,0.82,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.033,0.033,0.033,450.33,933,0.933,0.1,32,0.83,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.034,0.034,0.034,450.34,934,0.934,0.1,32,0.84,3.03E+26,"[1,0,0]",100,12,10,0.1,0,90
0.035,0.035,0.035,450.35,935,0.935,0.1,32,0.85,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.036,0.036,0.036,450.36,936,0.936,0.1,32,0.86,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.037,0.037,0.037,450.37,937,0.937,0.1,32,0.87,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.038,0.038,0.038,450.38,938,0.938,0.1,32,0.88,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.039,0.039,0.039,450.39,939,0.939,0.1,32,0.89,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.04,0.04,0.04,450.4,940,0.94,0.1,32,0.9,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.041,0.041,0.041,450.41,941,0.941,0.1,32,0.91,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.042,0.042,0.042,450.42,942,0.942,0.1,32,0.92,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.043,0.043,0.043,450.43,943,0.943,0.1,32,0.93,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.044,0.044,0.044,450.44,944,0.944,0.1,32,0.94,3.04E+26,"[1,0,0]",100,12,10,0.1,0,90
0.045,0.045,0.045,450.45,945,0.945,0.1,32,0.95,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.046,0.046,0.046,450.46,946,0.946,0.1,32,0.96,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.047,0.047,0.047,450.47,947,0.947,0.1,32,0.97,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.048,0.048,0.048,450.48,948,0.948,0.1,32,0.98,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.049,0.049,0.049,450.49,949,0.949,0.1,32,0.99,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.05,0.05,0.05,450.5,950,0.95,0.1,32,1,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.051,0.051,0.051,450.51,951,0.951,0.1,32,1.01,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.052,0.052,0.052,450.52,952,0.952,0.1,32,1.02,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.053,0.053,0.053,450.53,953,0.953,0.1,32,1.03,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.054,0.054,0.054,450.54,954,0.954,0.1,32,1.04,3.05E+26,"[1,0,0]",100,12,10,0.1,0,90
0.055,0.055,0.055,450.55,955,0.955,0.1,32,1.05,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.056,0.056,0.056,450.56,956,0.956,0.1,32,1.06,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.057,0.057,0.057,450.57,957,0.957,0.1,32,1.07,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.058,0.058,0.058,450.58,958,0.958,0.1,32,1.08,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.059,0.059,0.059,450.59,959,0.959,0.1,32,1.09,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.06,0.06,0.06,450.6,960,0.96,0.1,32,1.1,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.061,0.061,0.061,450.61,961,0.961,0.1,32,1.11,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.062,0.062,0.062,450.62,962,0.962,0.1,32,1.12,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.063,0.063,0.063,450.63,963,0.963,0.1,32,1.13,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.064,0.064,0.064,450.64,964,0.964,0.1,32,1.14,3.06E+26,"[1,0,0]",100,12,10,0.1,0,90
0.065,0.065,0.065,450.65,965,0.965,0.1,32,1.15,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.066,0.066,0.066,450.66,966,0.966,0.1,32,1.16,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.067,0.067,0.067,450.67,967,0.967,0.1,32,1.17,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.068,0.068,0.068,450.68,968,0.968,0.1,32,1.18,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.069,0.069,0.069,450.69,969,0.969,0.1,32,1.19,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.07,0.07,0.07,450.7,970,0.97,0.1,32,1.2,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.071,0.071,0.071,450.71,971,0.971,0.1,32,1.21,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.072,0.072,0.072,450.72,972,0.972,0.1,32,1.22,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.073,0.073,0.073,450.73,973,0.973,0.1,32,1.23,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.074,0.074,0.074,450.74,974,0.974,0.1,32,1.24,3.07E+26,"[1,0,0]",100,12,10,0.1,0,90
0.075,0.075,0.075,450.75,975,0.975,0.1,32,1.25,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.076,0.076,0.076,450.76,976,0.976,0.1,32,1.26,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.077,0.077,0.077,450.77,977,0.977,0.1,32,1.27,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.078,0.078,0.078,450.78,978,0.978,0.1,32,1.28,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.079,0.079,0.079,450.79,979,0.979,0.1,32,1.29,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.08,0.08,0.08,450.8,980,0.98,0.1,32,1.3,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.081,0.081,0.081,450.81,981,0.981,0.1,32,1.31,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.082,0.082,0.082,450.82,982,0.982,0.1,32,1.32,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.083,0.083,0.083,450.83,983,0.983,0.1,32,1.33,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.084,0.084,0.084,450.84,984,0.984,0.1,32,1.34,3.08E+26,"[1,0,0]",100,12,10,0.1,0,90
0.085,0.085,0.085,450.85,985,0.985,0.1,32,1.35,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.086,0.086,0.086,450.86,986,0.986,0.1,32,1.36,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.087,0.087,0.087,450.87,987,0.987,0.1,32,1.37,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.088,0.088,0.088,450.88,988,0.988,0.1,32,1.38,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.089,0.089,0.089,450.89,989,0.989,0.1,32,1.39,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.09,0.09,0.09,450.9,990,0.99,0.1,32,1.4,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.091,0.091,0.091,450.91,991,0.991,0.1,32,1.41,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.092,0.092,0.092,450.92,992,0.992,0.1,32,1.42,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.093,0.093,0.093,450.93,993,0.993,0.1,32,1.43,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.094,0.094,0.094,450.94,994,0.994,0.1,32,1.44,3.09E+26,"[1,0,0]",100,12,10,0.1,0,90
0.095,0.095,0.095,450.95,995,0.995,0.1,32,1.45,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.096,0.096,0.096,450.96,996,0.996,0.1,32,1.46,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.097,0.097,0.097,450.97,997,0.997,0.1,32,1.47,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.098,0.098,0.098,450.98,998,0.998,0.1,32,1.48,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.099,0.099,0.099,450.99,999,0.999,0.1,32,1.49,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.1,0.1,0.1,451,1000,1,0.1,32,1.5,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.101,0.101,0.101,451.01,1001,1.001,0.1,32,,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.102,0.102,0.102,451.02,1002,1.002,0.1,32,,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.103,0.103,0.103,451.03,1003,1.003,0.1,32,,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.104,0.104,0.104,451.04,1004,1.004,0.1,32,,3.10E+26,"[1,0,0]",100,12,10,0.1,0,90
0.105,0.105,0.105,451.05,1005,1.005,0.1,32,,3.11E+26,"[1,0,0]",100,12,10,0.1,0,90
