Rotation angle (rad), Temperature (K)
0.000000000000000000e+00,5.413837604686592186e+01
1.256888439123741985e-03,5.413378201029883030e+01
2.513776878247483970e-03,5.412919156551711808e+01
3.770665317371225955e-03,5.412460470737782003e+01
5.027553756494967940e-03,5.412002143074883520e+01
6.284442195618709925e-03,5.411544173050890549e+01
7.541330634742451910e-03,5.411086560154758729e+01
8.798219073866193896e-03,5.410629303876520169e+01
1.005510751298993588e-02,5.410172403707282740e+01
1.131199595211367787e-02,5.409715859139225103e+01
1.256888439123741985e-02,5.409259669665595283e+01
1.382577283036116184e-02,5.408803834780706410e+01
1.508266126948490382e-02,5.408348353979933876e+01
1.633954970860864581e-02,5.407893226759712491e+01
1.759643814773238779e-02,5.407438452617535773e+01
1.885332658685612978e-02,5.406984031051948136e+01
2.011021502597987176e-02,5.406529961562547015e+01
2.136710346510361375e-02,5.406076243649975765e+01
2.262399190422735573e-02,5.405622876815922950e+01
2.388088034335109772e-02,5.405169860563119499e+01
2.513776878247483970e-02,5.404717194395335866e+01
2.639465722159858169e-02,5.404264877817376345e+01
2.765154566072232367e-02,5.403812910335081199e+01
2.890843409984606566e-02,5.403361291455318138e+01
3.016532253896980764e-02,5.402910020685984449e+01
3.142221097809354963e-02,5.402459097536001309e+01
3.267909941721729161e-02,5.402008521515310946e+01
3.393598785634103360e-02,5.401558292134874506e+01
3.519287629546477558e-02,5.401108408906669922e+01
3.644976473458851757e-02,5.400658871343686940e+01
3.770665317371225955e-02,5.400209678959927118e+01
3.896354161283600154e-02,5.399760831270398143e+01
4.022043005195974352e-02,5.399312327791113830e+01
4.147731849108348551e-02,5.398864168039087730e+01
4.273420693020722749e-02,5.398416351532335256e+01
4.399109536933096948e-02,5.397968877789866582e+01
4.524798380845471146e-02,5.397521746331685932e+01
4.650487224757845345e-02,5.397074956678788027e+01
4.776176068670219543e-02,5.396628508353155951e+01
4.901864912582593742e-02,5.396182400877757601e+01
5.027553756494967940e-02,5.395736633776544977e+01
5.153242600407342139e-02,5.395291206574449205e+01
5.278931444319716337e-02,5.394846118797378409e+01
5.404620288232090536e-02,5.394401369972215576e+01
5.530309132144464734e-02,5.393956959626815006e+01
5.655997976056838933e-02,5.393512887290001601e+01
5.781686819969213131e-02,5.393069152491565887e+01
5.907375663881587330e-02,5.392625754762261892e+01
6.033064507793961528e-02,5.392182693633805712e+01
6.158753351706335727e-02,5.391739968638871972e+01
6.284442195618709925e-02,5.391297579311090260e+01
6.410131039531083430e-02,5.390855525185045138e+01
6.535819883443458322e-02,5.390413805796270452e+01
6.661508727355833215e-02,5.389972420681250043e+01
6.787197571268206719e-02,5.389531369377411352e+01
6.912886415180580224e-02,5.389090651423125422e+01
7.038575259092955116e-02,5.388650266357704055e+01
7.164264103005330009e-02,5.388210213721396968e+01
7.289952946917703513e-02,5.387770493055388954e+01
7.415641790830077018e-02,5.387331103901797036e+01
7.541330634742451910e-02,5.386892045803669760e+01
7.667019478654826803e-02,5.386453318304981508e+01
7.792708322567200308e-02,5.386014920950633211e+01
7.918397166479573812e-02,5.385576853286448085e+01
8.044086010391948705e-02,5.385139114859170206e+01
8.169774854304323597e-02,5.384701705216460255e+01
8.295463698216697102e-02,5.384264623906894087e+01
8.421152542129070606e-02,5.383827870479961319e+01
8.546841386041445499e-02,5.383391444486060351e+01
8.672530229953820391e-02,5.382955345476498366e+01
8.798219073866193896e-02,5.382519573003487068e+01
8.923907917778567400e-02,5.382084126620141262e+01
9.049596761690942293e-02,5.381649005880476722e+01
9.175285605603317185e-02,5.381214210339407344e+01
9.300974449515690690e-02,5.380779739552741603e+01
9.426663293428064194e-02,5.380345593077181832e+01
9.552352137340439087e-02,5.379911770470320675e+01
9.678040981252813979e-02,5.379478271290639668e+01
9.803729825165187484e-02,5.379045095097505680e+01
9.929418669077560988e-02,5.378612241451170206e+01
1.005510751298993588e-01,5.378179709912764395e+01
1.018079635690231077e-01,5.377747500044299755e+01
1.030648520081468428e-01,5.377315611408664608e+01
1.043217404472705778e-01,5.376884043569619109e+01
1.055786288863943267e-01,5.376452796091797381e+01
1.068355173255180757e-01,5.376021868540702542e+01
1.080924057646418107e-01,5.375591260482704570e+01
1.093492942037655458e-01,5.375160971485038885e+01
1.106061826428892947e-01,5.374731001115802798e+01
1.118630710820130436e-01,5.374301348943953371e+01
1.131199595211367787e-01,5.373872014539306718e+01
