Mon Jul  1 15:37:16 2024    output.prof

         31094020 function calls (30269907 primitive calls) in 394.255 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    162/1    0.001    0.000  394.308  394.308 {built-in method builtins.exec}
        1    0.031    0.031  394.259  394.259 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:667(main)
        1  175.733  175.733  338.319  338.319 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:491(thermophysical_body_model)
  1937862  161.692    0.000  161.692    0.000 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:458(calculate_secondary_radiation_term)
        1    0.039    0.039   40.671   40.671 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:82(animate_model)
        1    0.000    0.000   39.744   39.744 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:6519(show)
        1    0.000    0.000   39.546   39.546 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/render_window_interactor.py:1066(start)
        1   38.149   38.149   39.546   39.546 {method 'Start' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
        1    1.576    1.576   10.746   10.746 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:373(calculate_insolation)
        2    0.000    0.000    5.642    2.821 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
    119/2    0.001    0.000    5.573    2.787 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     34/2    0.000    0.000    5.573    2.786 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     34/2    0.000    0.000    5.573    2.786 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     34/2    0.001    0.000    5.573    2.786 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     34/2    0.000    0.000    5.572    2.786 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
 2701/300    0.003    0.000    5.375    0.018 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     77/2    0.000    0.000    5.295    2.648 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     77/2    0.000    0.000    5.295    2.647 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     77/2    0.001    0.000    5.295    2.647 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     77/2    0.003    0.000    5.294    2.647 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
  2002/52    0.024    0.000    5.293    0.102 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
 6006/156    0.003    0.000    5.279    0.034 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler_machinery.py:272(check)
    77/26    0.002    0.000    4.598    0.177 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:435(run_pass)
     77/5    0.001    0.000    4.350    0.870 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:103(run_pass)
     77/5    0.001    0.000    4.350    0.870 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:66(type_inference_stage)
     77/5    0.000    0.000    4.347    0.869 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:1067(propagate)
   156/11    0.003    0.000    4.346    0.395 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:142(propagate)
  796/161    0.003    0.000    4.337    0.027 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:580(resolve)
 1044/191    0.001    0.000    4.335    0.023 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:189(resolve_function_type)
  796/161    0.001    0.000    4.334    0.027 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:1519(resolve_call)
 1044/191    0.002    0.000    4.334    0.023 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
   396/39    0.001    0.000    4.309    0.110 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:570(__call__)
   117/15    0.000    0.000    4.298    0.287 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:534(get_call_type)
   117/15    0.000    0.000    4.298    0.287 /opt/homebrew/lib/python3.11/site-packages/numba/core/dispatcher.py:348(get_call_template)
