Phase Angle (degrees),Brightness Value
0.0,1.6432539154408054e-05
1.0,1.6430039321257266e-05
2.0,1.6422517447987517e-05
3.0,1.6409975851070627e-05
4.0,1.6392460192882206e-05
5.0,1.6370228566506837e-05
6.0,1.6342993375920713e-05
7.0,1.6314546976717673e-05
8.0,1.6281314707835064e-05
9.0,1.6243105620757312e-05
10.0,1.6199931546723954e-05
11.0,1.6151805853030104e-05
12.0,1.6098743438690974e-05
13.0,1.604076072961137e-05
14.0,1.5984450117962632e-05
15.0,1.5924139012007108e-05
16.0,1.585896060608009e-05
17.0,1.578893510910713e-05
18.0,1.57140842290787e-05
19.0,1.5634431165976847e-05
20.0,1.5555347843368654e-05
21.0,1.547295625134561e-05
22.0,1.5385835860350006e-05
23.0,1.5294013696406347e-05
24.0,1.5197518238698398e-05
25.0,1.5096379410272227e-05
26.0,1.499062856827462e-05
27.0,1.4880298493730816e-05
28.0,1.4765423380865307e-05
29.0,1.464603882597e-05
30.0,1.4522181815823797e-05
31.0,1.439389071566821e-05
32.0,1.4261205256743484e-05
33.0,1.4124166523390059e-05
34.0,1.3982816939720142e-05
35.0,1.3837200255864628e-05
36.0,1.3698447393300794e-05
37.0,1.3560136933812809e-05
38.0,1.3428872305206135e-05
39.0,1.3297105595192416e-05
40.0,1.3161278930238425e-05
41.0,1.302143445449554e-05
42.0,1.2877615548822299e-05
43.0,1.2729866816613297e-05
44.0,1.2578234069241305e-05
45.0,1.2422764311118206e-05
46.0,1.226350572438068e-05
47.0,1.2114898438830436e-05
48.0,1.1975878752950768e-05
49.0,1.1833203532826775e-05
50.0,1.168691709894612e-05
51.0,1.153706488157171e-05
52.0,1.1383693405838562e-05
53.0,1.1226850276506808e-05
54.0,1.1066584162376698e-05
55.0,1.0902944780371841e-05
56.0,1.0735982879296665e-05
57.0,1.0565750223274584e-05
58.0,1.0392791071651014e-05
59.0,1.0234302579900867e-05
60.0,1.0073627121153701e-05
61.0,9.909885125514342e-06
62.0,9.743127381830998e-06
63.0,9.573405596614818e-06
64.0,9.400772377178005e-06
65.0,9.225281214500343e-06
66.0,9.046986465830741e-06
67.0,8.865943337030505e-06
68.0,8.68220786466492e-06
69.0,8.495836897850073e-06
70.0,8.313895398100015e-06
71.0,8.15818236767341e-06
72.0,7.999989151044073e-06
73.0,7.83936479441114e-06
74.0,7.676359079375914e-06
75.0,7.5110225067351465e-06
76.0,7.3434062800631435e-06
77.0,7.173562289088925e-06
78.0,7.001543092874872e-06
79.0,6.827401902803117e-06
80.0,6.6738315428712986e-06
81.0,6.5211816637364405e-06
82.0,6.3916267371653525e-06
83.0,6.260129870427671e-06
84.0,6.12673189873954e-06
85.0,5.991474230590242e-06
86.0,5.854398834182581e-06
87.0,5.715548223711442e-06
88.0,5.574965445485902e-06
89.0,5.432694063900194e-06
90.0,5.28877814725894e-06
91.0,5.1432622534621e-06
92.0,4.996191415555043e-06
93.0,4.847611127149259e-06
94.0,4.697567327719152e-06
95.0,4.546106387780451e-06
96.0,4.393275093955775e-06
97.0,4.239120633932836e-06
98.0,4.1023741353663085e-06
99.0,3.966057774607881e-06
100.0,3.8285459902097915e-06
101.0,3.689881238221699e-06
102.0,3.550106310491551e-06
103.0,3.4092643209589077e-06
104.0,3.2952453408280187e-06
105.0,3.1839880572080513e-06
106.0,3.0717720222244065e-06
107.0,2.958631898824795e-06
108.0,2.844602618048236e-06
109.0,2.7297193678172703e-06
110.0,2.6140175816693238e-06
111.0,2.524209634484686e-06
112.0,2.442121715446393e-06
113.0,2.3629457633499444e-06
114.0,2.283058088257372e-06
115.0,2.2024834065979216e-06
116.0,2.1212466344040517e-06
117.0,2.0393728792694466e-06
118.0,1.956887432261306e-06
119.0,1.8738157597899796e-06
120.0,1.7949591897735307e-06
121.0,1.7264161359092815e-06
122.0,1.6573564850911473e-06
123.0,1.5878015678495193e-06
124.0,1.5177728549562546e-06
125.0,1.4472919505417332e-06
126.0,1.3763805851849613e-06
127.0,1.3050606089791729e-06
128.0,1.233353984575438e-06
129.0,1.1612827802067406e-06
130.0,1.0888691626949956e-06
131.0,1.0161353904434615e-06
132.0,9.431038064169473e-07
133.0,8.905894963653752e-07
134.0,8.461439613742503e-07
135.0,8.014470392094931e-07
136.0,7.56512499229481e-07
137.0,7.113541756676129e-07
138.0,6.659859632419561e-07
139.0,6.204218127559922e-07
140.0,5.74675726692006e-07
141.0,5.287617547986128e-07
142.0,4.826939896739796e-07
143.0,4.364865623462056e-07
144.0,3.9015363785239233e-07
145.0,3.437094108178398e-07
146.0,2.971681010368811e-07
147.0,2.505439490567633e-07
148.0,2.038512117660493e-07
149.0,1.8795234538823704e-07
150.0,1.7654347829503437e-07
151.0,1.6508281079113822e-07
152.0,1.5357386982090735e-07
153.0,1.4202019478405548e-07
154.0,1.3042533641744667e-07
155.0,1.1879285567627374e-07
156.0,1.0712632261499325e-07
157.0,9.542931526840468e-08
158.0,8.370541853324704e-08
159.0,7.195822305068227e-08
160.0,6.019132409004104e-08
161.0,4.8408320434186404e-08
162.0,3.6612813266864104e-08
163.0,2.480840506238712e-08
164.0,1.2998698478012498e-08
165.0,1.1934633070731737e-08
166.0,1.0905186930240237e-08
167.0,9.872514684486887e-09
168.0,8.836932231468445e-09
169.0,7.798756208712883e-09
170.0,6.758303895426695e-09
171.0,5.715893114628903e-09
172.0,4.671842135302014e-09
173.0,3.6264695745917294e-09
174.0,2.5800943000852584e-09
175.0,1.5330353321994046e-09
176.0,4.856117467082506e-10
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
