Phase Angle (degrees),Brightness Value
0.0,2.2302079274578165e-05
1.0,2.2283281979235026e-05
2.0,2.225779319202949e-05
3.0,2.2225718688724372e-05
4.0,2.218759686059044e-05
5.0,2.2143219108830558e-05
6.0,2.209228204639807e-05
7.0,2.2034672947569335e-05
8.0,2.197046608898118e-05
9.0,2.1899583907378207e-05
10.0,2.182207550789034e-05
11.0,2.1738765468074134e-05
12.0,2.164943180349784e-05
13.0,2.155385510845274e-05
14.0,2.1452038758976908e-05
15.0,2.1344112417000714e-05
16.0,2.1230082444878356e-05
17.0,2.1109904543711428e-05
18.0,2.098355972558282e-05
19.0,2.0851309699694713e-05
20.0,2.071341640064671e-05
21.0,2.056963040929235e-05
22.0,2.0422020045880187e-05
23.0,2.0270545522722024e-05
24.0,2.011571530947523e-05
25.0,1.9956094689911873e-05
26.0,1.9791191169134566e-05
27.0,1.9621635333027603e-05
28.0,1.9448882789627685e-05
29.0,1.9270830293388524e-05
30.0,1.9088955345732913e-05
31.0,1.890242668098884e-05
32.0,1.8710664160195555e-05
33.0,1.851519612857091e-05
34.0,1.831639470634941e-05
35.0,1.8113005768216655e-05
36.0,1.7908272321119842e-05
37.0,1.77060232952512e-05
38.0,1.7500857678666703e-05
39.0,1.729499466969231e-05
40.0,1.7085885237819283e-05
41.0,1.687535105745763e-05
42.0,1.6659700387301477e-05
43.0,1.6444247453521985e-05
44.0,1.6228073460316997e-05
45.0,1.6011126014079044e-05
46.0,1.5792868482693904e-05
47.0,1.5572283462509605e-05
48.0,1.5358322955273812e-05
49.0,1.5146042527828029e-05
50.0,1.4934687210219587e-05
51.0,1.4725877078563168e-05
52.0,1.4515887896128666e-05
53.0,1.4305068932829792e-05
54.0,1.4098018624693548e-05
55.0,1.3891665003508177e-05
56.0,1.3686542046163052e-05
57.0,1.3482901782854213e-05
58.0,1.327602056253793e-05
59.0,1.3068842345244525e-05
60.0,1.2859522839595425e-05
61.0,1.265011129023916e-05
62.0,1.2441982468889523e-05
63.0,1.223186369231789e-05
64.0,1.2020428656492941e-05
65.0,1.1813177215845841e-05
66.0,1.160597435798853e-05
67.0,1.139568584833971e-05
68.0,1.1181949812474678e-05
69.0,1.0966699502896317e-05
70.0,1.075186156011639e-05
71.0,1.05419924485015e-05
72.0,1.0335039028953126e-05
73.0,1.0133741134759193e-05
74.0,9.929503987202402e-06
75.0,9.72265651212156e-06
76.0,9.514922142264482e-06
77.0,9.305067091242567e-06
78.0,9.096591204006575e-06
79.0,8.895253742524944e-06
80.0,8.693387761183886e-06
81.0,8.491965381315709e-06
82.0,8.296404772564494e-06
83.0,8.101694260708673e-06
84.0,7.90552225025366e-06
85.0,7.70899177905218e-06
86.0,7.514140031536916e-06
87.0,7.322180383375323e-06
88.0,7.13312015829804e-06
89.0,6.944283870218507e-06
90.0,6.753488378068581e-06
91.0,6.5631675661279185e-06
92.0,6.376970627138186e-06
93.0,6.191186237495599e-06
94.0,6.006788061867989e-06
95.0,5.825376511224398e-06
96.0,5.6465916305128875e-06
97.0,5.47880164136307e-06
98.0,5.316266846270033e-06
99.0,5.152374980151578e-06
100.0,4.987838399448963e-06
101.0,4.826453274189351e-06
102.0,4.668120859370642e-06
103.0,4.5119727966066375e-06
104.0,4.356125841117553e-06
105.0,4.2042939114960904e-06
106.0,4.052622462730148e-06
107.0,3.902678439746352e-06
108.0,3.756449456689983e-06
109.0,3.6117622696510762e-06
110.0,3.4662440186482404e-06
111.0,3.322301708188421e-06
112.0,3.181404375260196e-06
113.0,3.0403400438440336e-06
114.0,2.8997983293838194e-06
115.0,2.7636953285079596e-06
116.0,2.631253618814068e-06
117.0,2.5078807142134797e-06
118.0,2.3931584943820286e-06
119.0,2.279393018339353e-06
120.0,2.167784303731403e-06
121.0,2.0585940483404485e-06
122.0,1.9566188703666375e-06
123.0,1.862525088244256e-06
124.0,1.7734865839384005e-06
125.0,1.6886155361939742e-06
126.0,1.6062796012145644e-06
127.0,1.5267219794854464e-06
128.0,1.4516220773588709e-06
129.0,1.3786100064850224e-06
130.0,1.3061913088521756e-06
131.0,1.2380138677416566e-06
132.0,1.1704322546835746e-06
133.0,1.1026791250509577e-06
134.0,1.0365122802840733e-06
135.0,9.781409532069405e-07
136.0,9.233551813362515e-07
137.0,8.720764140017665e-07
138.0,8.236799656590015e-07
139.0,7.776707259564874e-07
140.0,7.320330093803329e-07
141.0,6.910879480935251e-07
