Phase Angle (degrees),Brightness Value
0.0,2.3273726398459997e-05
1.0,2.3286135721009173e-05
2.0,2.3292278119198427e-05
3.0,2.329184221230395e-05
4.0,2.328471301845088e-05
5.0,2.3271114743069346e-05
6.0,2.325134182235517e-05
7.0,2.3225426936221787e-05
8.0,2.319298819141271e-05
9.0,2.3154370108575042e-05
10.0,2.3109725530949886e-05
11.0,2.3060187868426073e-05
12.0,2.3005060323233395e-05
13.0,2.2943913468810728e-05
14.0,2.2876818779102464e-05
15.0,2.2803376395841383e-05
16.0,2.2724083518796315e-05
17.0,2.263840568631591e-05
18.0,2.2547361712873967e-05
19.0,2.2451779492934147e-05
20.0,2.2351170639384404e-05
21.0,2.224527649014139e-05
22.0,2.2134758957230323e-05
23.0,2.2018479875982164e-05
24.0,2.1897192308966552e-05
25.0,2.1771629427276012e-05
26.0,2.1641261087891302e-05
27.0,2.150650130933912e-05
28.0,2.1367341046809128e-05
29.0,2.1223490037354465e-05
30.0,2.1074929745037434e-05
31.0,2.092187958829988e-05
32.0,2.0764779869144245e-05
33.0,2.060315619484622e-05
34.0,2.043798156643678e-05
35.0,2.0270393672789226e-05
36.0,2.0099629061060524e-05
37.0,1.9926333407405588e-05
38.0,1.9747924715215556e-05
39.0,1.956439806526048e-05
40.0,1.9377816040389072e-05
41.0,1.9188707490555178e-05
42.0,1.8994607170771063e-05
43.0,1.8797766595535437e-05
44.0,1.8599266638629012e-05
45.0,1.839746792321273e-05
46.0,1.8191448813120684e-05
47.0,1.7981449774181308e-05
48.0,1.7769292056826106e-05
49.0,1.7556350089528293e-05
50.0,1.7341331112565276e-05
51.0,1.712401503435702e-05
52.0,1.69037044300893e-05
53.0,1.668339330101352e-05
54.0,1.646390738380039e-05
55.0,1.6242407744519333e-05
56.0,1.601850296691034e-05
57.0,1.5791251425004228e-05
58.0,1.5561982955585886e-05
59.0,1.5332510973789632e-05
60.0,1.5101195480214293e-05
61.0,1.4869445469063278e-05
62.0,1.4638406513782652e-05
63.0,1.440598169646193e-05
64.0,1.4175814462651182e-05
65.0,1.3944544727113567e-05
66.0,1.3711149599178951e-05
67.0,1.347653235253922e-05
68.0,1.3241620563429932e-05
69.0,1.3006538718971639e-05
70.0,1.2772714296893712e-05
71.0,1.2538678238758271e-05
72.0,1.230463697478213e-05
73.0,1.2073567305998449e-05
74.0,1.1843786721410243e-05
75.0,1.1617335595439786e-05
76.0,1.139040801337592e-05
77.0,1.11657787294377e-05
78.0,1.0940352916804789e-05
79.0,1.0717968233215945e-05
80.0,1.0497857329690082e-05
81.0,1.0279895467630106e-05
82.0,1.006007166784104e-05
83.0,9.840402668365388e-06
84.0,9.623218628557538e-06
85.0,9.408725388243291e-06
86.0,9.19369376086681e-06
87.0,8.984915104359015e-06
88.0,8.77771938656944e-06
89.0,8.573136788615363e-06
90.0,8.371267977632535e-06
91.0,8.174969954447756e-06
92.0,7.978857520237406e-06
93.0,7.784933562005511e-06
94.0,7.593034860759707e-06
95.0,7.400960995944455e-06
96.0,7.208255420742651e-06
97.0,7.016971229086793e-06
98.0,6.829396213883432e-06
99.0,6.643366997669777e-06
100.0,6.458618293620019e-06
101.0,6.278914682799423e-06
102.0,6.102017668815092e-06
103.0,5.9272119855431924e-06
104.0,5.756225824177623e-06
105.0,5.5894038935424685e-06
106.0,5.427441402806675e-06
107.0,5.2679676590964126e-06
108.0,5.112508196690543e-06
109.0,4.960672314480044e-06
110.0,4.810234379162316e-06
111.0,4.662138419154545e-06
112.0,4.51737695832798e-06
113.0,4.375565860740171e-06
114.0,4.237614975589171e-06
115.0,4.102340084901637e-06
116.0,3.968668951844298e-06
117.0,3.838757790224785e-06
118.0,3.711922742391818e-06
119.0,3.5893771450576e-06
120.0,3.4718374267865044e-06
121.0,3.356431313275246e-06
122.0,3.245015639161952e-06
123.0,3.1359696106498566e-06
124.0,3.0290242642491544e-06
125.0,2.9234518009032083e-06
126.0,2.8207274886026476e-06
127.0,2.720214990966391e-06
128.0,2.6259918967434376e-06
129.0,2.534104515865366e-06
130.0,2.4490343276310957e-06
131.0,2.3684608401259154e-06
132.0,2.289598272738013e-06
133.0,2.2126554551537186e-06
134.0,2.1390076233627143e-06
135.0,2.0704289958319913e-06
136.0,2.0098952857641166e-06
137.0,1.956530471449237e-06
138.0,1.9109671110881704e-06
139.0,1.8685301775618218e-06
140.0,1.8273852647385953e-06
141.0,1.7867294028498495e-06
142.0,1.747802938096656e-06
143.0,1.7103803927416154e-06
144.0,1.674650338227122e-06
145.0,1.6419734535147555e-06
146.0,1.6122570648126293e-06
147.0,1.5831563349180983e-06
148.0,1.5543215423761041e-06
149.0,1.5264558072012601e-06
150.0,1.499853592415111e-06
151.0,1.47462598225994e-06
152.0,1.4502989659745153e-06
153.0,1.4267854467880782e-06
154.0,1.4044377631248539e-06
155.0,1.3840052698693639e-06
156.0,1.3657827677010809e-06
157.0,1.3497662279301501e-06
158.0,1.3349062440606576e-06
159.0,1.321211656644472e-06
160.0,1.3086915788229889e-06
161.0,1.2968105841391994e-06
