Phase Angle (degrees),Brightness Value
0.0,1.6403921709468564e-09
1.0,1.640142338362285e-09
2.0,1.6393928852419243e-09
3.0,1.638144039901689e-09
4.0,1.636396182801021e-09
5.0,1.6341740777420959e-09
6.0,1.6314635735371337e-09
7.0,1.628578359851519e-09
8.0,1.6252733671655182e-09
9.0,1.621473283094704e-09
10.0,1.617179265373605e-09
11.0,1.6123926222174003e-09
12.0,1.6071148119231595e-09
13.0,1.6013474424253453e-09
14.0,1.595628723391314e-09
15.0,1.5896335365539905e-09
16.0,1.583154115286065e-09
17.0,1.576192433636376e-09
18.0,1.5687506125775446e-09
19.0,1.560830919359459e-09
20.0,1.5528797385214746e-09
21.0,1.5446910785228207e-09
22.0,1.536031875063068e-09
23.0,1.526904766306766e-09
24.0,1.5173125329679285e-09
25.0,1.5072580974623838e-09
26.0,1.496744523016933e-09
27.0,1.485775012735594e-09
28.0,1.4743529086232138e-09
29.0,1.4624816905667465e-09
30.0,1.450164975274514e-09
31.0,1.437406515173762e-09
32.0,1.4242101972668603e-09
33.0,1.4105800419464913e-09
34.0,1.396520201770187e-09
35.0,1.382034960194589e-09
36.0,1.3679784444002914e-09
37.0,1.3542261686269014e-09
38.0,1.3409840575921165e-09
39.0,1.3278891725683791e-09
40.0,1.3143897900871068e-09
41.0,1.3004900229589146e-09
42.0,1.2861941059683734e-09
43.0,1.271506394583104e-09
44.0,1.256431363626095e-09
45.0,1.2409736059116452e-09
46.0,1.2251378308453585e-09
47.0,1.209983508950427e-09
48.0,1.1961733342692766e-09
49.0,1.1819987859957726e-09
50.0,1.167464182691693e-09
51.0,1.1525739526049563e-09
52.0,1.1373326323196743e-09
53.0,1.1217448653731992e-09
54.0,1.1058154008405789e-09
55.0,1.0895490918868595e-09
56.0,1.0729508942876716e-09
57.0,1.0560258649185593e-09
58.0,1.0387791602134994e-09
59.0,1.0225886521236056e-09
60.0,1.0066197263368354e-09
61.0,9.90344176346815e-10
62.0,9.7376696075346e-10
63.0,9.568931300461878e-10
64.0,9.397278250643802e-10
65.0,9.222762754303311e-10
66.0,9.045437979551472e-10
67.0,8.865357950181048e-10
68.0,8.682577529199366e-10
69.0,8.497152402105736e-10
70.0,8.311179980547915e-10
71.0,8.156400699806306e-10
72.0,7.999136948322232e-10
73.0,7.839436638729436e-10
74.0,7.677348425811697e-10
75.0,7.512921691671778e-10
76.0,7.346206530678805e-10
77.0,7.177253734198829e-10
78.0,7.006114775113167e-10
79.0,6.832841792129205e-10
80.0,6.676959995849319e-10
81.0,6.523493069980018e-10
82.0,6.392047932035739e-10
83.0,6.261394635280491e-10
84.0,6.128834113969852e-10
85.0,5.994406755044961e-10
86.0,5.858153514038925e-10
87.0,5.720115902592016e-10
88.0,5.580335975797606e-10
89.0,5.438856319382612e-10
90.0,5.295720036726488e-10
91.0,5.150970735722569e-10
92.0,5.00465251548596e-10
93.0,4.856809952911871e-10
94.0,4.707488089088615e-10
95.0,4.55673241556934e-10
96.0,4.404588860506752e-10
97.0,4.251103774655019e-10
98.0,4.112282487296249e-10
99.0,3.9765985975563554e-10
100.0,3.8397035231413607e-10
101.0,3.701638969314487e-10
102.0,3.562446997422299e-10
103.0,3.422170012075659e-10
104.0,3.3035719956146815e-10
105.0,3.1928501508763556e-10
106.0,3.0811558433722623e-10
107.0,2.9685231010899316e-10
108.0,2.854986237741713e-10
109.0,2.7405798423067685e-10
110.0,2.625338768489404e-10
111.0,2.5310916188384263e-10
112.0,2.448918699571463e-10
113.0,2.369002981535462e-10
114.0,2.2895293511011714e-10
115.0,2.2093583913992758e-10
116.0,2.1285145270098773e-10
117.0,2.0470223873873592e-10
118.0,1.9649067993535823e-10
119.0,1.8821927795311138e-10
120.0,1.8005265106984842e-10
121.0,1.7323145862991588e-10
122.0,1.6635750742536183e-10
123.0,1.5943289162426556e-10
124.0,1.5245972081720076e-10
125.0,1.4544011937428427e-10
126.0,1.3837622579773906e-10
127.0,1.3127019207016346e-10
128.0,1.2412418299871006e-10
129.0,1.1694037555537106e-10
130.0,1.0972095821357325e-10
131.0,1.0246813028128532e-10
132.0,9.518410123083829e-11
133.0,8.95534988088628e-11
134.0,8.512654326258155e-11
135.0,8.06736636614574e-11
136.0,7.619621655147151e-11
137.0,7.169556595471112e-11
138.0,6.717308295369331e-11
139.0,6.263014527354901e-11
140.0,5.806813686219316e-11
141.0,5.3488447468607164e-11
142.0,4.8892472219366564e-11
143.0,4.428161119353837e-11
144.0,3.965726899608209e-11
145.0,3.5020854329880146e-11
146.0,3.0373779566532956e-11
147.0,2.571746031604475e-11
148.0,2.105331499553517e-11
149.0,1.892648301070945e-11
150.0,1.7789768346023204e-11
151.0,1.6647636710660495e-11
152.0,1.550043604547664e-11
153.0,1.434851583318287e-11
154.0,1.3192226991848492e-11
155.0,1.2031921767969133e-11
156.0,1.0867953629132611e-11
157.0,9.700677156316061e-12
158.0,8.530447935846753e-12
159.0,7.357622451059282e-12
160.0,6.182557973683013e-12
161.0,5.005612454991795e-12
162.0,3.827144416750211e-12
163.0,2.6475128419886147e-12
164.0,1.4670770656411594e-12
165.0,1.213729887715722e-12
166.0,1.110946559747276e-12
167.0,1.0078249221250575e-12
168.0,9.043963880647098e-13
169.0,8.006924641192797e-13
170.0,6.967447405805105e-13
171.0,5.925848818548503e-13
172.0,4.882446168170201e-13
173.0,3.8375572914417167e-13
174.0,2.7915004763349696e-13
175.0,1.7445943650630413e-13
176.0,6.97157857014881e-14
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
