Phase Angle (degrees),Brightness Value
0.0,1.7279834687415924e-09
1.0,1.727706145117639e-09
2.0,1.7269085946403047e-09
3.0,1.7255928806781723e-09
4.0,1.7237605683250123e-09
5.0,1.721412355528681e-09
6.0,1.7185626403509327e-09
7.0,1.7152180968052695e-09
8.0,1.7113842103096924e-09
9.0,1.7070842048332192e-09
10.0,1.7023160607467288e-09
11.0,1.6970686258869421e-09
12.0,1.691357341086906e-09
13.0,1.6851965556505966e-09
14.0,1.6786009569664434e-09
15.0,1.6716051837586566e-09
16.0,1.6641738071151105e-09
17.0,1.6563070956624238e-09
18.0,1.6479886472041223e-09
19.0,1.63924482687285e-09
20.0,1.6301004484903291e-09
21.0,1.6205669163107592e-09
22.0,1.610649745819883e-09
23.0,1.6003727484362382e-09
24.0,1.5897039253939992e-09
25.0,1.5787091575853808e-09
26.0,1.567366649402795e-09
27.0,1.555671062907123e-09
28.0,1.543654916523876e-09
29.0,1.5313180138838842e-09
30.0,1.5186583626810747e-09
31.0,1.505737955302525e-09
32.0,1.4925573810773126e-09
33.0,1.4791300175340308e-09
34.0,1.4654777916606566e-09
35.0,1.4515180021944818e-09
36.0,1.4372443670882993e-09
37.0,1.4226920838965473e-09
38.0,1.4079131097895323e-09
39.0,1.392886799442327e-09
40.0,1.3775892493487226e-09
41.0,1.3620780462721688e-09
42.0,1.3463614516418633e-09
43.0,1.3305291034399442e-09
44.0,1.3145722698712691e-09
45.0,1.2983773986012721e-09
46.0,1.282008922621106e-09
47.0,1.2655152788939924e-09
48.0,1.2488170291131518e-09
49.0,1.2319299833935077e-09
50.0,1.2148617529391537e-09
51.0,1.1976689623830132e-09
52.0,1.1803964764136956e-09
53.0,1.1629083688570139e-09
54.0,1.1452737533279834e-09
55.0,1.1275896596622627e-09
56.0,1.109902676922168e-09
57.0,1.0921534792429041e-09
58.0,1.0742639511829303e-09
59.0,1.056366534775285e-09
60.0,1.0386060679052526e-09
61.0,1.020843542426504e-09
62.0,1.0031337732523764e-09
63.0,9.855060964703937e-10
64.0,9.678992332207985e-10
65.0,9.502993376476982e-10
66.0,9.326462309990487e-10
67.0,9.149768602254089e-10
68.0,8.973607281532678e-10
69.0,8.798275768843311e-10
70.0,8.623709635750985e-10
71.0,8.449050803089666e-10
72.0,8.274911720186148e-10
73.0,8.101783136242474e-10
74.0,7.929904667929303e-10
75.0,7.759348164931451e-10
76.0,7.59018539695722e-10
77.0,7.42147164794299e-10
78.0,7.253973710332661e-10
79.0,7.086950538077152e-10
80.0,6.921317644844933e-10
81.0,6.757197213679403e-10
82.0,6.594440475605693e-10
83.0,6.431935103606071e-10
84.0,6.269468470821417e-10
85.0,6.1088336274797e-10
86.0,5.949805721977637e-10
87.0,5.792629001842064e-10
88.0,5.636685317923288e-10
89.0,5.48318417962319e-10
90.0,5.331691669298952e-10
91.0,5.182059577278666e-10
92.0,5.034422240965677e-10
93.0,4.88908085392881e-10
94.0,4.744673060747956e-10
95.0,4.603904898220615e-10
96.0,4.4648337355465577e-10
97.0,4.3271152398791305e-10
98.0,4.1910071578884664e-10
99.0,4.056322198047799e-10
100.0,3.924003531851147e-10
101.0,3.793818563259178e-10
102.0,3.665110756731247e-10
103.0,3.5377021079159294e-10
104.0,3.411815413124712e-10
105.0,3.2884174304179367e-10
106.0,3.1663606006174607e-10
107.0,3.046887286767213e-10
108.0,2.9313344418094493e-10
109.0,2.81797146761544e-10
110.0,2.707358163854471e-10
111.0,2.600469313983531e-10
112.0,2.4963062433434386e-10
113.0,2.394954231629178e-10
114.0,2.2955264815760306e-10
115.0,2.1987868480957858e-10
116.0,2.104651283019915e-10
