Wed Jul 10 09:08:30 2024    output.prof

         68812773 function calls (66496251 primitive calls) in 107.240 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    173/1    0.001    0.000  107.261  107.261 {built-in method builtins.exec}
        1    0.003    0.003  107.259  107.259 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:791(main)
        1    0.001    0.001   90.437   90.437 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:186(animate_model)
        1    0.001    0.001   89.805   89.805 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:6722(show)
        1    0.000    0.000   89.568   89.568 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/render_window_interactor.py:1366(start)
        1   55.940   55.940   89.568   89.568 {method 'Start' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
  836/812    0.006    0.000   33.397    0.041 /opt/homebrew/lib/python3.11/site-packages/pyvista/core/utilities/misc.py:188(try_callback)
      755    0.015    0.000   32.639    0.043 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:243(<lambda>)
      755    0.098    0.000   32.624    0.043 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:134(update)
      834    0.003    0.000   18.267    0.022 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:45(draw)
      834    0.005    0.000   18.064    0.022 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:381(draw)
      834    0.001    0.000   17.968    0.022 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
93468/834    0.124    0.000   17.968    0.022 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      834    0.009    0.000   17.965    0.022 /opt/homebrew/lib/python3.11/site-packages/matplotlib/figure.py:3134(draw)
 1668/834    0.006    0.000   17.567    0.021 /opt/homebrew/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
      834    0.008    0.000   17.562    0.021 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axes/_base.py:3005(draw)
     1831    0.021    0.000   10.724    0.006 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:1976(render)
