Rotation Angle (rad), Temperature (K)
0.000000000000000000e+00,5.418695909338826766e+01
1.256637061435917236e-03,5.418258937393963492e+01
2.513274122871834472e-03,5.417822304592215943e+01
3.769911184307751274e-03,5.417386010453783030e+01
5.026548245743668944e-03,5.416950054499862688e+01
6.283185307179586614e-03,5.416514436252649745e+01
7.539822368615502549e-03,5.416079155235335207e+01
8.796459430051421086e-03,5.415644210972099160e+01
1.005309649148733789e-02,5.415209602988112891e+01
1.130973355292325469e-02,5.414775330809532505e+01
1.256637061435917323e-02,5.414341393963498206e+01
1.382300767579509003e-02,5.413907791978129325e+01
1.507964473723100510e-02,5.413474524382525033e+01
1.633628179866692190e-02,5.413041590706758655e+01
1.759291886010284217e-02,5.412608990481876248e+01
1.884955592153875897e-02,5.412176723239893050e+01
2.010619298297467578e-02,5.411744788513792059e+01
2.136283004441059258e-02,5.411313185837520479e+01
2.261946710584650938e-02,5.410881914745987586e+01
2.387610416728242618e-02,5.410450974775061184e+01
2.513274122871834645e-02,5.410020365461565461e+01
2.638937829015425979e-02,5.409590086343278870e+01
2.764601535159018006e-02,5.409160136958931275e+01
2.890265241302609686e-02,5.408730516848200409e+01
3.015928947446201019e-02,5.408301225551710445e+01
3.141592653589793394e-02,5.407872262611028447e+01
3.267256359733384380e-02,5.407443627568662947e+01
3.392920065876976754e-02,5.407015319968059686e+01
3.518583772020568434e-02,5.406587339353600186e+01
3.644247478164159421e-02,5.406159685270599624e+01
3.769911184307751795e-02,5.405732357265303278e+01
3.895574890451343475e-02,5.405305354884884395e+01
4.021238596594935155e-02,5.404878677677441345e+01
4.146902302738526835e-02,5.404452325191995499e+01
4.272566008882118516e-02,5.404026296978488375e+01
4.398229715025710196e-02,5.403600592587778806e+01
4.523893421169301876e-02,5.403175211571642222e+01
4.649557127312894250e-02,5.402750153482766393e+01
4.775220833456485237e-02,5.402325417874748581e+01
4.900884539600076917e-02,5.401901004302094123e+01
5.026548245743669291e-02,5.401476912320214296e+01
5.152211951887260971e-02,5.401053141485423481e+01
5.277875658030851957e-02,5.400629691354935602e+01
5.403539364174444332e-02,5.400206561486862711e+01
5.529203070318036012e-02,5.399783751440212853e+01
5.654866776461626998e-02,5.399361260774886517e+01
5.780530482605219372e-02,5.398939089051675921e+01
5.906194188748811053e-02,5.398517235832260752e+01
6.031857894892402039e-02,5.398095700679206743e+01
6.157521601035994413e-02,5.397674483155963543e+01
6.283185307179586787e-02,5.397253582826861162e+01
6.408849013323178467e-02,5.396832999257108554e+01
6.534512719466768760e-02,5.396412732012791480e+01
6.660176425610361828e-02,5.395992780660869670e+01
6.785840131753953508e-02,5.395573144769173268e+01
6.911503837897543800e-02,5.395153823906403545e+01
7.037167544041136868e-02,5.394734817642127211e+01
7.162831250184728549e-02,5.394316125546776419e+01
7.288494956328318841e-02,5.393897747191645209e+01
7.414158662471911909e-02,5.393479682148888088e+01
7.539822368615503589e-02,5.393061929991515768e+01
7.665486074759095270e-02,5.392644490293396586e+01
7.791149780902686950e-02,5.392227362629250109e+01
7.916813487046278630e-02,5.391810546574647844e+01
8.042477193189870310e-02,5.391394041706008977e+01
8.168140899333461991e-02,5.390977847600598949e+01
8.293804605477053671e-02,5.390561963836527326e+01
8.419468311620645351e-02,5.390146389992746379e+01
8.545132017764237031e-02,5.389731125649046817e+01
8.670795723907828711e-02,5.389316170386056370e+01
8.796459430051420392e-02,5.388901523785238368e+01
8.922123136195013460e-02,5.388487185428888893e+01
9.047786842338603752e-02,5.388073154900133943e+01
9.173450548482195432e-02,5.387659431782928721e+01
9.299114254625788500e-02,5.387246015662054077e+01
9.424777960769378793e-02,5.386832906123115805e+01
9.550441666912970473e-02,5.386420102752539663e+01
9.676105373056563541e-02,5.386007605137572085e+01
9.801769079200153834e-02,5.385595412866277343e+01
9.927432785343746902e-02,5.385183525527533988e+01
1.005309649148733858e-01,5.384771942711034143e+01
1.017876019763092887e-01,5.384360664007281372e+01
1.030442390377452194e-01,5.383949689007587125e+01
1.043008760991811362e-01,5.383539017304070029e+01
1.055575131606170391e-01,5.383128648489653045e+01
1.068141502220529698e-01,5.382718582158062048e+01
1.080707872834888866e-01,5.382308817903822273e+01
1.093274243449247896e-01,5.381899355322258316e+01
1.105840614063607202e-01,5.381490194009490580e+01
1.118406984677966370e-01,5.381081333562432434e+01
1.130973355292325400e-01,5.380672773578790213e+01
1.143539725906684706e-01,5.380264513657059666e+01
1.156106096521043874e-01,5.379856553396524532e+01
1.168672467135402904e-01,5.379448892397254411e+01
1.181238837749762211e-01,5.379041530260101922e+01
1.193805208364121379e-01,5.378634466586701279e+01
1.206371578978480408e-01,5.378227700979467585e+01
1.218937949592839715e-01,5.377821233041591853e+01
1.231504320207198883e-01,5.377415062377041011e+01
1.244070690821558189e-01,5.377009188590556477e+01
1.256637061435917357e-01,5.376603611287649187e+01
1.269203432050276248e-01,5.376198330074601017e+01
1.281769802664635693e-01,5.375793344558460518e+01
1.294336173278994861e-01,5.375388654347042205e+01
1.306902543893353752e-01,5.374984259048923718e+01
1.319468914507713198e-01,5.374580158273443686e+01
1.332035285122072366e-01,5.374176351630701021e+01
1.344601655736431256e-01,5.373772838731551360e+01
1.357168026350790702e-01,5.373369619187607071e+01
1.369734396965149870e-01,5.372966692611232276e+01
1.382300767579508760e-01,5.372564058615544269e+01
1.394867138193868206e-01,5.372161716814408550e+01
1.407433508808227374e-01,5.371759666822440238e+01
1.419999879422586264e-01,5.371357908254998392e+01
1.432566250036945710e-01,5.370956440728186720e+01
1.445132620651304878e-01,5.370555263858851447e+01
1.457698991265663768e-01,5.370154377264577761e+01
1.470265361880023214e-01,5.369753780563689105e+01
1.482831732494382382e-01,5.369353473375245756e+01
1.495398103108741550e-01,5.368953455319041979e+01
1.507964473723100718e-01,5.368553726015603900e+01
1.520530844337459886e-01,5.368154285086189503e+01
1.533097214951819054e-01,5.367755132152783659e+01
1.545663585566178222e-01,5.367356266838100254e+01
1.558229956180537390e-01,5.366957688765575796e+01
1.570796326794896558e-01,5.366559397559371547e+01
1.583362697409255726e-01,5.366161392844368550e+01
1.595929068023614894e-01,5.365763674246168335e+01
1.608495438637974062e-01,5.365366241391090085e+01
1.621061809252333230e-01,5.364969093906167075e+01
1.633628179866692398e-01,5.364572231419148096e+01
1.646194550481051566e-01,5.364175653558493195e+01
1.658760921095410734e-01,5.363779359953372960e+01
1.671327291709769902e-01,5.363383350233666391e+01
1.683893662324129070e-01,5.362987624029958766e+01
1.696460032938488238e-01,5.362592180973539513e+01
1.709026403552847406e-01,5.362197020696402205e+01
1.721592774167206574e-01,5.361802142831241724e+01
1.734159144781565742e-01,5.361407547011451413e+01
1.746725515395924910e-01,5.361013232871122369e+01
1.759291886010284078e-01,5.360619200045042021e+01
1.771858256624643246e-01,5.360225448168691287e+01
1.784424627239002692e-01,5.359831976878244575e+01
1.796990997853361582e-01,5.359438785810565520e+01
1.809557368467720750e-01,5.359045874603207693e+01
1.822123739082080196e-01,5.358653242894411051e+01
1.834690109696439086e-01,5.358260890323101222e+01
1.847256480310798255e-01,5.357868816528887379e+01
1.859822850925157700e-01,5.357477021152060104e+01
1.872389221539516591e-01,5.357085503833591389e+01
1.884955592153875759e-01,5.356694264215130374e+01
1.897521962768235204e-01,5.356303301939003347e+01
1.910088333382594095e-01,5.355912616648211610e+01
1.922654703996953263e-01,5.355522207986430061e+01
