Time of Day (radians), Surface Temperature (K)
   0.00000,  53.84959
   0.00126,  53.84514
   0.00251,  53.84069
   0.00377,  53.83625
   0.00503,  53.83181
   0.00628,  53.82737
   0.00754,  53.82293
   0.00880,  53.81850
   0.01005,  53.81407
   0.01131,  53.80965
   0.01257,  53.80523
   0.01382,  53.80081
   0.01508,  53.79639
   0.01634,  53.79198
   0.01759,  53.78757
   0.01885,  53.78317
   0.02011,  53.77877
   0.02136,  53.77437
   0.02262,  53.76998
   0.02388,  53.76559
   0.02513,  53.76120
   0.02639,  53.75681
   0.02765,  53.75243
   0.02890,  53.74805
   0.03016,  53.74368
   0.03142,  53.73931
   0.03267,  53.73494
   0.03393,  53.73058
   0.03519,  53.72622
   0.03644,  53.72186
   0.03770,  53.71750
   0.03896,  53.71315
   0.04021,  53.70880
   0.04147,  53.70446
   0.04273,  53.70012
   0.04398,  53.69578
   0.04524,  53.69144
   0.04650,  53.68711
   0.04775,  53.68278
   0.04901,  53.67846
   0.05027,  53.67414
   0.05152,  53.66982
   0.05278,  53.66550
   0.05404,  53.66119
   0.05529,  53.65688
   0.05655,  53.65258
   0.05781,  53.64827
   0.05906,  53.64397
   0.06032,  53.63968
   0.06158,  53.63538
   0.06283,  53.63110
   0.06409,  53.62681
   0.06535,  53.62253
   0.06660,  53.61825
   0.06786,  53.61397
   0.06912,  53.60969
   0.07037,  53.60542
   0.07163,  53.60116
   0.07288,  53.59689
   0.07414,  53.59263
   0.07540,  53.58837
   0.07665,  53.58412
   0.07791,  53.57987
   0.07917,  53.57562
   0.08042,  53.57137
   0.08168,  53.56713
   0.08294,  53.56289
   0.08419,  53.55866
   0.08545,  53.55442
   0.08671,  53.55019
   0.08796,  53.54597
   0.08922,  53.54175
   0.09048,  53.53753
   0.09173,  53.53331
   0.09299,  53.52909
   0.09425,  53.52488
   0.09550,  53.52068
   0.09676,  53.51647
   0.09802,  53.51227
   0.09927,  53.50807
   0.10053,  53.50387
   0.10179,  53.49968
   0.10304,  53.49549
   0.10430,  53.49131
   0.10556,  53.48712
   0.10681,  53.48294
   0.10807,  53.47877
   0.10933,  53.47459
   0.11058,  53.47042
   0.11184,  53.46625
   0.11310,  53.46209
   0.11435,  53.45793
   0.11561,  53.45377
   0.11687,  53.44961
   0.11812,  53.44546
   0.11938,  53.44131
   0.12064,  53.43716
   0.12189,  53.43302
   0.12315,  53.42888
   0.12441,  53.42474
   0.12566,  53.42061
   0.12692,  53.41647
   0.12818,  53.41235
   0.12943,  53.40822
   0.13069,  53.40410
   0.13195,  53.39998
   0.13320,  53.39586
   0.13446,  53.39175
   0.13572,  53.38764
   0.13697,  53.38353
   0.13823,  53.37942
   0.13949,  53.37532
   0.14074,  53.37122
   0.14200,  53.36712
   0.14326,  53.36303
   0.14451,  53.35894
   0.14577,  53.35485
   0.14703,  53.35077
   0.14828,  53.34669
   0.14954,  53.34261
   0.15080,  53.33853
   0.15205,  53.33446
   0.15331,  53.33039
   0.15457,  53.32632
   0.15582,  53.32226
   0.15708,  53.31820
   0.15834,  53.31414
   0.15959,  53.31009
   0.16085,  53.30603
   0.16211,  53.30198
   0.16336,  53.29794
   0.16462,  53.29389
   0.16588,  53.28985
   0.16713,  53.28581
   0.16839,  53.28178
   0.16965,  53.27775
   0.17090,  53.27372
   0.17216,  53.26969
   0.17342,  53.26567
   0.17467,  53.26165
   0.17593,  53.25763
   0.17719,  53.25361
   0.17844,  53.24960
   0.17970,  53.24559
   0.18096,  53.24158
   0.18221,  53.23758
   0.18347,  53.23358
   0.18473,  53.22958
   0.18598,  53.22559
   0.18724,  53.22159
   0.18850,  53.21760
   0.18975,  53.21362
   0.19101,  53.20963
   0.19227,  53.20565
   0.19352,  53.20167
   0.19478,  53.19770
   0.19604,  53.19372
   0.19729,  53.18975
   0.19855,  53.18579
   0.19981,  53.18182
   0.20106,  53.17786
   0.20232,  53.17390
   0.20358,  53.16994
   0.20483,  53.16599
   0.20609,  53.16204
   0.20735,  53.15809
   0.20860,  53.15415
   0.20986,  53.15020
   0.21112,  53.14626
   0.21237,  53.14233
   0.21363,  53.13839
   0.21488,  53.13446
   0.21614,  53.13053
   0.21740,  53.12661
   0.21865,  53.12268
   0.21991,  53.11876
   0.22117,  53.11484
   0.22242,  53.11093
   0.22368,  53.10702
   0.22494,  53.10311
   0.22619,  53.09920
   0.22745,  53.09529
   0.22871,  53.09139
   0.22996,  53.08749
   0.23122,  53.08360
   0.23248,  53.07970
   0.23373,  53.07581
   0.23499,  53.07192
   0.23625,  53.06804
   0.23750,  53.06415
   0.23876,  53.06027
   0.24002,  53.05640
   0.24127,  53.05252
   0.24253,  53.04865
   0.24379,  53.04478
   0.24504,  53.04091
   0.24630,  53.03705
