Phase Angle (degrees),Brightness Value
0.0,1.7585439338946738e-09
1.0,1.7582779730011572e-09
2.0,1.7574809352713383e-09
3.0,1.7561619648639547e-09
4.0,1.7543273565317867e-09
5.0,1.7519719990495675e-09
6.0,1.7491201615663938e-09
7.0,1.7457577678403338e-09
8.0,1.7419352558081527e-09
9.0,1.7376122689271725e-09
10.0,1.7328283374499603e-09
11.0,1.7275614326734386e-09
12.0,1.7218375945871763e-09
13.0,1.7156328024799498e-09
14.0,1.7089806440336617e-09
15.0,1.7019632426804932e-09
16.0,1.6945081585150357e-09
17.0,1.6866257778562502e-09
18.0,1.6783211976842992e-09
19.0,1.6695360828713473e-09
20.0,1.6603042457175278e-09
21.0,1.6506816267082287e-09
22.0,1.6407792748925054e-09
23.0,1.6305349431776659e-09
24.0,1.619984630369953e-09
25.0,1.6092658375359746e-09
26.0,1.5980777718384942e-09
27.0,1.5864029013597924e-09
28.0,1.5742447830430336e-09
29.0,1.5616071210534794e-09
30.0,1.5488874597336843e-09
31.0,1.5359728456856233e-09
32.0,1.5226569471810998e-09
33.0,1.5093815647925556e-09
34.0,1.495814888216402e-09
35.0,1.4818635150992519e-09
36.0,1.467519669381752e-09
37.0,1.4527293910054045e-09
38.0,1.4378357421182432e-09
39.0,1.4228665819534784e-09
40.0,1.407547819632795e-09
41.0,1.392402635951525e-09
42.0,1.3769823916212606e-09
43.0,1.3611865771202902e-09
44.0,1.3450834836135746e-09
45.0,1.3286403899948489e-09
46.0,1.3122178197868869e-09
47.0,1.2957907058490602e-09
48.0,1.2790226219599911e-09
49.0,1.2625722895304749e-09
50.0,1.2458557824875355e-09
51.0,1.2289229467959836e-09
52.0,1.2116241051769041e-09
53.0,1.1940808861067422e-09
54.0,1.1768346408220556e-09
55.0,1.1594626686290595e-09
56.0,1.1419627826572716e-09
57.0,1.124644212068243e-09
58.0,1.1069830639379077e-09
59.0,1.0893679557533916e-09
60.0,1.0715698917998848e-09
61.0,1.0535705951297652e-09
62.0,1.035909004816152e-09
63.0,1.0179457201283693e-09
64.0,1.0003307291919479e-09
65.0,9.828501110989428e-10
66.0,9.651115977235116e-10
67.0,9.47162204960499e-10
68.0,9.290985635024629e-10
69.0,9.112263313674082e-10
70.0,8.936498117384297e-10
71.0,8.758252032719109e-10
72.0,8.586865351023603e-10
73.0,8.414162350370167e-10
74.0,8.240325631013434e-10
75.0,8.065301886159844e-10
76.0,7.888823675478116e-10
77.0,7.71537788933016e-10
78.0,7.544887573236916e-10
79.0,7.374327971353657e-10
80.0,7.210387796229438e-10
81.0,7.045503770293706e-10
82.0,6.878935362911315e-10
83.0,6.710997757114362e-10
84.0,6.543543485191275e-10
85.0,6.379758304438588e-10
86.0,6.220366288192859e-10
87.0,6.060405477474663e-10
88.0,5.908536034957539e-10
89.0,5.757648015606438e-10
90.0,5.605006277947094e-10
91.0,5.450657326069859e-10
92.0,5.294648183962025e-10
93.0,5.140317730728016e-10
94.0,4.992506039015697e-10
95.0,4.845997770133609e-10
96.0,4.704772314616117e-10
97.0,4.5668068022551513e-10
98.0,4.4298743116174696e-10
99.0,4.2929174989457424e-10
100.0,4.156036100479827e-10
101.0,4.0214687667674203e-10
102.0,3.8888759458875876e-10
103.0,3.7598263517853084e-10
104.0,3.63409211035372e-10
105.0,3.5104746895826243e-10
106.0,3.3882271328426815e-10
107.0,3.2681868809662497e-10
108.0,3.1495548139287133e-10
109.0,3.033952771007223e-10
110.0,2.920895722936492e-10
111.0,2.810875018907808e-10
112.0,2.702969522980289e-10
113.0,2.597141231716129e-10
114.0,2.492794675035043e-10
115.0,2.3916467190866555e-10
116.0,2.2921356856765073e-10
117.0,2.1959433573369428e-10
118.0,2.1013398601504253e-10
119.0,2.0084947626627344e-10
120.0,1.9183277013888436e-10
121.0,1.8318305317098754e-10
122.0,1.7456132158677625e-10
123.0,1.6632088402797108e-10
